xAccl,yAccl,zAccl,newPosition,time,pcTime
24,58,-993,0,346574,440.9828186035156
11,71,-998,0,371496,465.9290313720703
21,73,-999,0,396503,491.0128116607666
26,65,-993,0,421511,515.8829689025879
17,63,-997,0,446519,540.9348011016846
13,67,-1000,0,471526,565.8960342407227
21,61,-997,0,496533,590.9128189086914
18,65,-997,0,521540,615.9679889678955
14,63,-998,0,546548,640.9368515014648
14,66,-997,0,571555,665.9007072
17,61,-1002,0,596563,691.8087005615234
24,67,-996,0,621570,715.9187794
15,63,-996,0,646577,740.9069538116455
11,68,-994,0,671584,765.9590244293213
18,61,-996,0,696592,790.9009456634521
22,67,-998,0,721599,815.8648014068604
15,68,-998,0,746606,840.8887386322021
17,63,-997,0,771614,865.9117221832275
23,66,-995,0,796621,890.9120559692383
15,65,-1002,0,821628,916.8939590454102
13,58,-999,0,846636,940.9089088439941
20,69,-996,0,871643,966.8948650360107
29,67,-998,0,896650,991.9588565826416
12,64,-994,0,921658,1016.8688297271729
48,60,-1000,0,946665,1041.9728755950928
32,57,-1000,0,971672,1066.9078826904297
76,51,-1000,0,996680,1091.831922531128
44,50,-986,0,1021687,1116.7378425598145
7,62,-985,0,1046695,1141.8077945709229
49,41,-994,0,1071702,1166.8119430541992
78,66,-1016,0,1096709,1191.8528079986572
105,46,-996,0,1121716,1216.9427871704102
104,33,-981,0,1146724,1241.9347763061523
136,35,-997,0,1171731,1266.9236660003662
149,43,-994,0,1196739,1292.0589447021484
136,32,-993,0,1221746,1316.9889450073242
91,53,-989,0,1246753,1342.1308994293213
418,26,-976,0,1271760,1367.0158386230469
116,14,-991,0,1296768,1391.9429779052734
180,27,-957,0,1321775,1417.090892791748
390,58,-926,0,1346783,1441.9159889221191
397,29,-948,0,1371791,1466.998815536499
511,33,-904,0,1396800,1492.0568466186523
504,-13,-894,0,1421802,1516.9780254364014
663,9,-813,0,1446812,1541.9647693634033
750,-73,-803,0,1471817,1567.007064819336
950,65,-701,0,1496821,1592.207908630371
751,-17,-689,0,1521828,1616.9538497924805
943,-41,-492,0,1546831,1641.9498920440674
879,1,-459,0,1571839,1666.888952255249
1015,55,-137,0,1596840,1691.9586658477783
959,-99,-70,0,1621846,1717.0288562774658
526,211,439,0,1646846,1741.9028282165527
709,77,493,0,1671850,1767.0848369598389
196,680,611,0,1696853,1791.9318675994873
647,-157,637,0,1721857,1817.0008659362793
-215,114,820,0,1746861,1841.9787883758545
-273,121,789,0,1771868,1866.8909072875977
-679,79,805,0,1796872,1891.9899463653564
-851,197,710,0,1821876,1917.0958995819092
-877,100,422,0,1846880,1941.9958591461182
-851,7,36,0,1871887,1967.085838317871
-1078,272,83,0,1896891,1991.961956
-1421,-386,-651,0,1921897,2017.0230865478516
-918,122,-294,0,1946907,2042.0079231262207
-1079,87,-422,0,1971907,2067.0228004455566
-923,115,-487,0,1996912,2092.075824737549
-921,65,-626,0,2021919,2117.039918899536
-808,127,-571,0,2046927,2141.932725906372
-852,120,-604,0,2071934,2166.970968
-812,83,-654,0,2096938,2191.998005
-833,99,-615,0,2121942,2217.0069217681885
-842,104,-614,0,2146946,2242.022991
-903,99,-607,0,2171948,2266.9830322265625
-926,95,-543,0,2196956,2292.0758724212646
-902,41,-501,0,2221963,2316.9517517089844
-1162,59,-363,0,2246971,2341.946840286255
-1075,107,-300,0,2271978,2367.015838623047
-1477,158,-214,0,2296982,2392.0247554779053
-1060,77,-83,0,2321990,2417.064905166626
-1176,124,72,0,2346994,2441.864013671875
-823,96,333,0,2371995,2466.968774795532
-807,112,520,0,2397001,2491.8789863586426
-664,127,689,0,2422008,2517.063856124878
-384,94,846,0,2447012,2542.0398712158203
14,39,836,0,2472016,2567.0547485351562
140,-12,820,0,2497024,2592.073917388916
421,31,776,0,2522025,2617.004871368408
639,5,650,0,2547034,2642.070770263672
880,60,462,0,2572038,2666.966676712036
810,-114,248,0,2597037,2691.9639110565186
642,-40,70,0,2622045,2717.073917388916
1327,130,-22,0,2647055,2742.0239448547363
1167,-42,-127,0,2672058,2766.988754272461
1012,-36,-297,0,2697059,2792.1297550201416
1028,-22,-411,0,2722064,2817.0247077941895
971,-9,-395,0,2747065,2842.089891433716
983,-15,-487,0,2772071,2866.961956
913,-7,-515,0,2797078,2891.8259143829346
871,3,-498,0,2822085,2916.9857501983643
929,-3,-489,0,2847089,2942.0058727264404
958,6,-449,0,2872097,2967.010736465454
993,-18,-423,0,2897100,2992.044687271118
1020,-7,-365,0,2922108,3017.076015472412
1100,-52,-285,0,2947114,3042.0780181884766
983,0,-161,0,2972121,3067.119836807251
1007,-27,-24,0,2997126,3091.8400287628174
1010,-14,159,0,3022129,3116.863965988159
830,-92,300,0,3047133,3141.9248580932617
1017,-157,409,0,3072137,3166.8827533721924
936,-112,598,0,3097141,3191.8699741363525
500,-40,764,0,3122148,3216.8519496917725
-71,123,866,0,3147152,3242.065906524658
-385,266,931,0,3172159,3267.042875289917
-277,95,891,0,3197166,3292.1149730682373
-739,162,782,0,3222170,3317.1677589416504
-685,16,621,0,3247177,3342.1928882598877
-862,52,386,0,3272184,3367.065906524658
-1237,162,272,0,3297189,3392.087697982788
-835,20,84,0,3322195,3417.059898376465
-1171,164,-34,0,3347199,3442.135810852051
-1049,104,-138,0,3372206,3467.0510292053223
-1077,130,-201,0,3397210,3492.1019077301025
-1045,58,-288,0,3422213,3517.066002
-1025,99,-295,0,3447218,3542.154074
-1024,120,-293,0,3472229,3567.065954208374
-1018,129,-292,0,3497233,3592.0968055725098
-1019,98,-304,0,3522240,3617.0167922973633
-1087,104,-257,0,3547242,3642.124891281128
-1070,140,-168,0,3572246,3667.034864425659
-1105,92,-102,0,3597249,3691.901922225952
-1079,-21,-32,0,3622253,3716.892957687378
-1027,156,182,0,3647258,3741.926908493042
-1081,-36,287,0,3672263,3767.0609951019287
-985,83,464,0,3697264,3791.9299602508545
-792,-24,563,0,3722273,3816.962718963623
-738,151,755,0,3747273,3841.9699668884277
-491,92,922,0,3772280,3866.942882537842
-3,42,883,0,3797287,3892.158031463623
234,46,901,0,3822295,3916.930913925171
446,-47,821,0,3847299,3942.0948028564453
423,-14,587,0,3872306,3966.953992843628
882,71,552,0,3897313,3992.094039916992
1781,-426,368,0,3922317,4017.0788764953613
1369,-201,45,0,3947324,4042.156696
969,-124,1,0,3972331,4067.1098232269287
994,-130,-63,0,3997339,4092.042922973633
1124,-53,-80,0,4022342,4117.013931274414
1018,-61,-157,0,4047350,4142.1568393707275
1072,-43,-177,0,4072353,4166.999816894531
1056,20,-216,0,4097364,4192.150831222534
1098,-74,-252,0,4122364,4217.031002044678
1026,-36,-188,0,4147372,4243.000745773315
1128,-63,-147,0,4172375,4266.994953155518
1126,-72,-97,0,4197383,4292.168855667114
1152,-38,-5,0,4222386,4317.041873931885
1112,-70,76,0,4247394,4342.146873474121
1016,-99,238,0,4272401,4367.051124572754
1143,-22,302,0,4297409,4392.072916030884
896,19,475,0,4322416,4417.002916
698,-50,649,0,4347422,4442.069053649902
421,-17,760,0,4372423,4467.022895812988
102,11,855,0,4397430,4492.162704467773
-175,122,973,0,4422438,4516.903877258301
130,62,944,0,4447445,4542.026042938232
-587,71,838,0,4472452,4566.931962966919
-600,79,785,0,4497460,4592.086077
-869,116,569,0,4522467,4616.97793
-857,134,420,0,4547474,4643.013954162598
-640,-136,122,0,4572482,4668.013811
-942,82,184,0,4597489,4692.103862762451
-1117,95,109,0,4622496,4718.109846115112
-1087,142,29,0,4647504,4742.9540157318115
-1131,136,-15,0,4672511,4768.011808395386
-1070,102,-89,0,4697519,4793.003797531128
-1088,122,-96,0,4722522,4817.926884
-1074,144,-46,0,4747529,4843.087911605835
-1054,140,6,0,4772533,4866.836071014404
-1025,158,89,0,4797540,4892.789840698242
-908,315,279,0,4822548,4917.891741
-1033,155,238,0,4847555,4942.859888076782
-1140,109,332,0,4872558,4967.862844467163
-879,71,447,0,4897566,4991.941928863525
-799,211,700,0,4922573,5017.951965332031
-653,116,725,0,4947581,5042.8807735443115
-487,47,855,0,4972588,5067.872762680054
44,71,997,0,4997595,5092.087745666504
129,-4,928,0,5022603,5117.029905319214
236,-32,858,0,5047610,5142.989873886108
492,0,841,0,5072617,5167.142868041992
901,-80,737,0,5097621,5192.9638385772705
817,19,595,0,5122628,5217.041969299316
726,15,405,0,5147635,5242.267847061157
702,-8,190,0,5172643,5267.052888870239
1055,-102,215,0,5197650,5293.050765991211
990,-48,148,0,5222653,5317.954778671265
1107,-70,76,0,5247654,5343.030691146851
1028,-55,-2,0,5272661,5367.915868759155
1086,-41,-2,0,5297664,5393.075942993164
1018,24,-12,0,5322665,5417.989969
1172,-60,32,0,5347673,5442.993879318237
960,-20,67,0,5372680,5467.923879623413
957,34,137,0,5397687,5493.068695068359
964,-69,221,0,5422695,5518.023968
983,12,343,0,5447702,5543.037891387939
1248,-118,365,0,5472709,5568.007946014404
512,492,627,0,5497716,5592.996835708618
687,-29,631,0,5522724,5618.026971817017
495,-35,748,0,5547731,5642.837047576904
420,31,863,0,5572738,5667.984962463379
115,-12,909,0,5597745,5692.914962768555
-213,103,945,0,5622753,5717.983007
-428,76,906,0,5647760,5743.040084838867
-509,66,798,0,5672768,5768.028020858765
-860,166,714,0,5697775,5793.011903762817
-880,135,563,0,5722783,5817.966938018799
-852,76,456,0,5747791,5843.0328369140625
-1369,-103,701,0,5772795,5868.000745773315
