I,c_c,mp,l,error
0.01,0.001,0.1,0.2,
0.01,0.001,0.1,0.23333333333333334,
0.01,0.001,0.1,0.26666666666666666,
0.01,0.001,0.1,0.30000000000000004,
0.01,0.001,0.1,0.33333333333333337,
0.01,0.001,0.1,0.3666666666666667,
0.01,0.001,0.1,0.4,
0.01,0.001,0.1,0.43333333333333335,
0.01,0.001,0.1,0.4666666666666667,
0.01,0.001,0.1,0.5,
0.01,0.001,0.2,0.2,
0.01,0.001,0.2,0.23333333333333334,
0.01,0.001,0.2,0.26666666666666666,
0.01,0.001,0.2,0.30000000000000004,
0.01,0.001,0.2,0.33333333333333337,
0.01,0.001,0.2,0.3666666666666667,
0.01,0.001,0.2,0.4,
0.01,0.001,0.2,0.43333333333333335,
0.01,0.001,0.2,0.4666666666666667,
0.01,0.001,0.2,0.5,
0.01,0.001,0.30000000000000004,0.2,
0.01,0.001,0.30000000000000004,0.23333333333333334,
0.01,0.001,0.30000000000000004,0.26666666666666666,
0.01,0.001,0.30000000000000004,0.30000000000000004,
0.01,0.001,0.30000000000000004,0.33333333333333337,
0.01,0.001,0.30000000000000004,0.3666666666666667,
0.01,0.001,0.30000000000000004,0.4,
0.01,0.001,0.30000000000000004,0.43333333333333335,
0.01,0.001,0.30000000000000004,0.4666666666666667,
0.01,0.001,0.30000000000000004,0.5,
0.01,0.001,0.4,0.2,
0.01,0.001,0.4,0.23333333333333334,
0.01,0.001,0.4,0.26666666666666666,
0.01,0.001,0.4,0.30000000000000004,
0.01,0.001,0.4,0.33333333333333337,
0.01,0.001,0.4,0.3666666666666667,
0.01,0.001,0.4,0.4,
0.01,0.001,0.4,0.43333333333333335,
0.01,0.001,0.4,0.4666666666666667,
0.01,0.001,0.4,0.5,
0.01,0.001,0.5,0.2,
0.01,0.001,0.5,0.23333333333333334,
0.01,0.001,0.5,0.26666666666666666,
0.01,0.001,0.5,0.30000000000000004,
0.01,0.001,0.5,0.33333333333333337,
0.01,0.001,0.5,0.3666666666666667,
0.01,0.001,0.5,0.4,
0.01,0.001,0.5,0.43333333333333335,
0.01,0.001,0.5,0.4666666666666667,
0.01,0.001,0.5,0.5,
